实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
x. Row 2:,PERSON,1,,,"d box is filled row-wise as follows. Row 1: x, o, x. Row 2: blank, x, blank. Row 3: x, o, o."
SA,ORG,33,,,"Here we are using abbreviations;
SA ≠ WA
is a shortcut for 〈(
SA, WA
),
SA
≠
WA
〉, wh"
"F
+",PRODUCT,3,,,"0 minutes to install an axle, so we write
A
x
l
e
F
+ 10
≤
W
h
e
e
l
R
F
;
A
x
l
e
F
+ 10
≤
W
h
e
e
l
L"
"F
+
1
≤
N",PRODUCT,1,,," (1 minute, but not represented yet):
W
h
e
e
l
R
F
+
1
≤
N
u
t
s
R
F
;
N
u
t
s
R
F
+
2
≤
C
a
p
R
F
;
W
h
e
e"
"F
+
2
≤",PRODUCT,1,,,"yet):
W
h
e
e
l
R
F
+
1
≤
N
u
t
s
R
F
;
N
u
t
s
R
F
+
2
≤
C
a
p
R
F
;
W
h
e
e
l
L
F
+
1
≤
N
u
t
s
L
F
;
N
u"
"U, W",ORG,1,,,"resented as the global constraint
Alldiff
(
F, T, U, W, R, O
). The addition constraints on the four col"
Node B,PERSON,1,,,"s each have three child nodes that are MAX nodes. Node B is marked 3, C is marked 2, and D is marked 2. Th"
NARY,GPE,2,,,"NARY
asks you to prove, every finite-domain constraint"
COP,ORG,1,,,"a problem a
constrained optimization problem
, or COP. Linear programs are one class of COPs."
5.2Constraint Propagation: Inference,ORG,1,,,"5.2Constraint Propagation: Inference in CSPs
5.2
Constraint Propagation: Inference in "
Constraint Propagation: Inference,ORG,1,,,"5.2Constraint Propagation: Inference in CSPs
5.2
Constraint Propagation: Inference in CSPs
An atomic state-space search algorithm ma"
〈,PERSON,1,,,"igits. We can write this constraint explicitly as
〈
(
X
,
Y
),{(0,0), (1,1), (2,4), (3,9)}
〉
."
AC-3,PRODUCT,4,,,"algorithm for enforcing arc consistency is called AC-3 (see
Figure 5.3
). To make every variable arc-con"
the AC-3 algorithm,ORG,1,,,"ure 5.3
). To make every variable arc-consistent, the AC-3 algorithm maintains a queue of arcs to consider. Initially,"
AC-3,GPE,4,,,"now the whole CSP has no consistent solution, and AC-3 can immediately return failure. Otherwise, we kee"
Computing 2-consistency,PERSON,1,,,"sistency checking is mostly an empirical science. Computing 2-consistency is common, and 3-consistency less common."
Sudoku,ORG,6,,,lues (as in the cryptarithmetic problem above and Sudoku puzzles below). One simple form of inconsistency 
"F
1",PRODUCT,3,,,"ing problem, let’s suppose there are two flights,
F
1
and
F
2
, for which the planes have capacities 16"
"F
2",PRODUCT,3,,,"lem, let’s suppose there are two flights,
F
1
and
F
2
, for which the planes have capacities 165 and 38"
"F
1
+
F
2",PRODUCT,1,,,"t the two flights together must carry 420 people:
F
1
+
F
2
= 420. Propagating bounds constraints, we reduce "
Sudoku,PERSON,5,,,The Sudoku puzzles that appear in newspapers and puzzle book
E6,PRODUCT,5,,,"ly the AC-3 algorithm directly. Consider variable
E6
from
Figure 5.4(a)
—the empty square between the "
I6,PRODUCT,1,,,"e are left with only the value 7 in the domain of
I6."
max node,PERSON,1,,," and MIN nodes, respectively. At the top level, a max node is present and the level is labeled Player. The n"
Player,PERSON,2,,,"l, a max node is present and the level is labeled Player. The next level is labeled Opponent and a MIN nod"
Opponent,ORG,2,,,evel is labeled Player. The next level is labeled Opponent and a MIN node is labeled m. The nodes in the pla
PC-2,ORG,2,,,"ku puzzles. Slightly harder ones can be solved by PC-2, but at a greater computational cost: there are 2"
Knights d 4,ORG,1,,,"8. Queen, g 2. Rooks, ""a"" 8 and h 8. Bishop, c 8. Knights d 4 and g 8. Pawns, ""a"" 7, b 7, c 7, d 6, e 5, f 7, g"
Knight c3.,PERSON,1,,,"1. Queen, d 1. Rooks, ""a"" 1 and h 1. Bishop, c 4. Knight c3. Pawns, ""a"" 2, b 2, c 2, e 4, f 2, and h 2. Part ("
OMAIN,ORG,2,,,"ons S
ELECT
-U
NASSIGNED
-V
ARIABLE
and O
RDER
-D
OMAIN
-V
ALUES
implement the generalpurpose heuristics "
ALUES,ORG,2,,,"CT
-U
NASSIGNED
-V
ARIABLE
and O
RDER
-D
OMAIN
-V
ALUES
implement the generalpurpose heuristics discussed"
"←
SELECT-UNASSIGNED-VARIABLE",ORG,1,,,"he backtracking algorithm contains the line
v
a
r
←
SELECT-UNASSIGNED-VARIABLE(
c
s
p
,
a
s
s
i
g
n
m
e
n
t
)
."
MRV,ORG,7,,," If some variable
X
has no legal values left, the MRV heuristic will select
X
and failure will be detec"
MAC,ORG,7,,,"The algorithm called MAC (for
Maintaining Arc Consistency
) detects incons"
Maintaining Arc Consistency,WORK_OF_ART,1,,,"The algorithm called MAC (for
Maintaining Arc Consistency
) detects inconsistencies like this. After a vari"
AC-3,ORG,2,,,"variables that are neighbors of
X
i
. From there, AC-3 does constraint propagation in the usual way, and"
Tasmania,ORG,6,,,"nstraint. We back up to
T
and try a new color for Tasmania! Obviously this is silly—recoloring Tasmania cann"
Tasmania,GPE,1,,,"e algorithm should backtrack to
NSW
and skip over Tasmania. A backjumping algorithm that uses conflict sets "
←,PERSON,1,,," conflict set for
X
i
as follows:
c
o
n
f
(
X
i
)
←
c
o
n
f
(
X
i
)
∪
c
o
n
f
(
X
j
)
−
{
X
i
}
."
CHANCE,PERSON,2,,,represent MAX and MIN nodes and circles represent CHANCE nodes. The first level of the game tree is labele
CHANCE,ORG,10,,,t node is a MAX node. The second level is labeled CHANCE and contains many circles. Paths from the node in
C. Paths,ORG,1,,,"ontains many circles. The first circle is labeled C. Paths from the MIN node labeled 1 by 18, 6 to 5 in the "
"The M
IN",WORK_OF_ART,1,,,"×
Figure 5.9
The M
IN
-C
ONFLICTS
local search algorithm for CSPs. The "
The Structure of Problems,WORK_OF_ART,1,,,"5.5The Structure of Problems
5.5
The Structure of Problems
In this section, we examine ways in which the
str"
⋃,PRODUCT,2,,,". If assignment
S
i
is a solution of
CSP
i
, then ⋃
i
S
i
is a solution of ⋃
i
CSP
i
. Why is this im"
DAC,ORG,1,,,"onsistency, called
directional arc consistency
or DAC. A CSP is defined to be directional arc-consisten"
K c,ORG,1,,,"ng positions. King, d 2. Rook d 3. A line labeled K c 3 question mark from Board 1 connects to a circul"
Board 1,ORG,1,,,Rook d 3. A line labeled K c 3 question mark from Board 1 connects to a circular node. An arrow labeled Ill
Check,PERSON,1,,,"tions. King, d 2. Rook c 3. Another arrow labeled Check from the second node points to board 4."
South Australia,GPE,1,,,"ustralia, shown again in
Figure 5.12(a)
. Without South Australia, the graph would become a tree, as in
(b)
. Fortu"
S. S,ORG,1,,," constraint graph becomes a tree after removal of
S. S
is called a
cycle cutset
."
Universe,ORG,1,,,", this would get us down from the lifetime of the Universe to a few minutes. In the worst case, however,
c
c"
Diophantus,ORG,1,,,"ical and Historical Notes
The Greek mathematician Diophantus (c. 200–284) presented and solved problems involv"
= c.,PERSON,1,,,"r the domain of integers for the equation
ax + by = c."
linear,ORG,1,,,Systematic methods for solving linear equations by variable elimination were studied by
Gauss,ORG,1,,,equations by variable elimination were studied by Gauss (1829); the solution of linear inequality constra
Fourier,PERSON,1,,,ion of linear inequality constraints goes back to Fourier (1827).
Francis Guthrie,PERSON,1,,,"ored with four or fewer colors) was first made by Francis Guthrie, a student of De Morgan, in 1852. It resisted sol"
De Morgan,PERSON,1,,,") was first made by Francis Guthrie, a student of De Morgan, in 1852. It resisted solution—despite several pu"
Appel and,ORG,1,,,"aims to the contrary—until a proof was devised by Appel and Haken (1977) (see the book
Four Colors Suffice
(W"
Haken,PERSON,1,,,"e contrary—until a proof was devised by Appel and Haken (1977) (see the book
Four Colors Suffice
(Wilson,"
Georges Gonthier,PERSON,1,,,"d that part of the proof relied on a computer, so Georges Gonthier (2008), using the C
OQ
theorem prover, derived a "
Appel,PERSON,1,,," C
OQ
theorem prover, derived a formal proof that Appel and Haken’s proof program was correct."
Haken,ORG,1,,,"rem prover, derived a formal proof that Appel and Haken’s proof program was correct."
Sutherland,GPE,1,,,"e most influential early examples was S
KETCHPAD
(Sutherland, 1963), which solved geometric constraints in dia"
CAD,ORG,1,,,"was the forerunner of modern drawing programs and CAD tools. The identification of CSPs as a
general
cl"
Ugo Montanari,PERSON,1,,,"entification of CSPs as a
general
class is due to Ugo Montanari (1974). The reduction of higher-order CSPs to pur"
Charles Sanders Peirce,PERSON,1,,,"
) is due originally to the 19th-century logician Charles Sanders Peirce. It was introduced into the CSP literature by Dec"
Dechter,ORG,7,,,rce. It was introduced into the CSP literature by Dechter (1990b) and was elaborated by Bacchus and van Bee
Bacchus,ORG,2,,,terature by Dechter (1990b) and was elaborated by Bacchus and van Beek (1998). CSPs with preferences among 
van Beek,PERSON,4,,,Dechter (1990b) and was elaborated by Bacchus and van Beek (1998). CSPs with preferences among solutions are
Bistarelli,PERSON,1,,,"tudied widely in the optimization literature; see Bistarelli
et al."
Waltz’s,ORG,1,,,onstraint propagation methods were popularized by Waltz’s (1975) success on polyhedral line-labeling proble
Waltz,PERSON,1,,,"edral line-labeling problems for computer vision. Waltz showed that in many problems, propagation complet"
Montanari,PERSON,1,,, completely eliminates the need for backtracking. Montanari (1974) introduced the notion of constraint graphs
Alan Mackworth,PERSON,1,,,raint graphs and propagation by path consistency. Alan Mackworth (1977) proposed the AC-3 algorithm for enforcing 
Mohr,ORG,1,,," efficient
arc-consistency algorithm developed by Mohr and Henderson (1986), runs in
O
(
cd
2
) worst-ca"
Henderson,GPE,1,,,"t
arc-consistency algorithm developed by Mohr and Henderson (1986), runs in
O
(
cd
2
) worst-case time but ca"
Mackworth,ORG,1,,,"r than AC-3 on average cases. The PC-2 algorithm (Mackworth, 1977) achieves path consistency in much the same"
Haralick,PERSON,2,,,nt and the benefits in terms of search reduction. Haralick and Elliott (1980) favored the minimal forward-ch
Elliott,PERSON,2,,,nefits in terms of search reduction. Haralick and Elliott (1980) favored the minimal forward-checking algor
McGregor,PERSON,1,,,"e minimal forward-checking algorithm described by McGregor (1979), whereas Gaschnig (1979) suggested full ar"
Sabin,PERSON,1,,,iable assignment—an algorithm later called MAC by Sabin and Freuder (1994). The latter paper provides som
Freuder,PERSON,5,,,gnment—an algorithm later called MAC by Sabin and Freuder (1994). The latter paper provides somewhat convin
Bessière,ORG,1,,,"orithms can be analyzed, and surveys are given by Bessière (2006) and Barták
et al."
Marriott,GPE,1,,,"hin the context of
constraint logic programming
. Marriott and Stuckey (1998) provide excellent coverage of "
Stuckey,GPE,1,,,"xt of
constraint logic programming
. Marriott and Stuckey (1998) provide excellent coverage of research in "
Regin,PERSON,1,,," this area. The
Alldiff
constraint was studied by Regin (1994), Stergiou and Walsh (1999), and van Hoeve "
Stergiou,PERSON,1,,,"e
Alldiff
constraint was studied by Regin (1994), Stergiou and Walsh (1999), and van Hoeve (2001). There are"
Walsh,PERSON,1,,,"straint was studied by Regin (1994), Stergiou and Walsh (1999), and van Hoeve (2001). There are more comp"
van Hoeve,PERSON,3,,,"d by Regin (1994), Stergiou and Walsh (1999), and van Hoeve (2001). There are more complex inference algorith"
Katriel,GPE,1,,,"ference algorithms for
Alldiff
(see van Hoeve and Katriel, 2006) that propagate more constraints but are mo"
Van Hentenryck,PERSON,1,,,"incorporated into constraint logic programming by Van Hentenryck
et al."
Katriel,PERSON,1,,,f global constraints is provided by van Hoeve and Katriel (2006).
Simonis,PERSON,1,,,ost widely known CSP and was described as such by Simonis (2005). Agerbeck and Hansen (2008) describe some 
Agerbeck,PERSON,1,,, CSP and was described as such by Simonis (2005). Agerbeck and Hansen (2008) describe some of the strategies
C. F. Gauss,PERSON,1,,,"In 1850, C. F. Gauss described a recursive backtracking algorithm for "
Schachzeitung,PERSON,1,,,"h had been published in the German chess magazine
Schachzeitung
in 1848. Gauss called his method
Tatonniren,
deri"
Tatonniren,PERSON,1,,,"ne
Schachzeitung
in 1848. Gauss called his method
Tatonniren,
derived from the French word
tâtonner
—to grope "
R. J. Walker,PERSON,1,,,"cording to Donald Knuth (personal communication), R. J. Walker introduced the term
backtrack
in the 1950s. Walke"
Golomb and Baumert,PERSON,1,,,"t to find all solutions to the 13-queens problem. Golomb and Baumert (1965) formulated, with examples, the general cla"
Reingold,PERSON,1,,,oduced what we call the MRV heuristic. Bitner and Reingold (1975) provided an influential survey of backtrac
Brelaz,ORG,1,,,an influential survey of backtracking techniques. Brelaz (1979) used the degree heuristic as a tiebreaker 
John Gaschnig,PERSON,1,,,"The basic backjumping method is due to John Gaschnig (1977, 1979). Kondrak and van Beek (1997) showed "
Kondrak,PERSON,2,,,"ping method is due to John Gaschnig (1977, 1979). Kondrak and van Beek (1997) showed that this algorithm is"
Prosser,PRODUCT,1,,,ing. Conflict-directed backjumping was devised by Prosser (1993). Dechter (1990a) introduced graph-based ba
Frost,PERSON,2,,,"s a function of the constraint graph (Dechter and Frost, 2002)."
Stallman and Sussman,ORG,2,,,"ntelligent backtracking was developed early on by Stallman and Sussman (1977). Their technique of
dependency-directed ba"
de Kleer,PERSON,1,,,e connection between the two areas is analyzed by de Kleer (1989).
Kondrak,GPE,1,,, be combined with conflict-directed back-jumping; Kondrak and van Beek (1997) present a hybrid algorithm th
Ginsberg,PERSON,1,,,"The method of
dynamic backtracking
(Ginsberg, 1993) retains successful partial assignments fro"
SAT,ORG,2,,,niques and others are used to create an efficient SAT solver. Empirical studies of several randomized b
Gomes,PERSON,2,,,"eral randomized backtracking methods were done by Gomes
et al."
Van Beek,PERSON,1,,,(2000) and Gomes and Selman (2001). Van Beek (2006) surveys backtracking.
Gu,PERSON,2,,,"The min-conflicts heuristic was first proposed by Gu (1989) and was developed independently by Minton
"
Peter Cheeseman,PERSON,1,,,"ure and prevalence of “easy” and “hard” problems. Peter Cheeseman
et al."
Konolige,PERSON,1,,,Konolige (1994) showed that local search is inferior to ba
Pinkas,ORG,1,,,"bined local search and inference, such as that by Pinkas and Dechter (1995). Hoos and Tsang (2006) provide"
Hoos,PERSON,2,,,"rence, such as that by Pinkas and Dechter (1995). Hoos and Tsang (2006) provide a survey of local search"
Tsang,PERSON,2,,,ch as that by Pinkas and Dechter (1995). Hoos and Tsang (2006) provide a survey of local search technique
acyclic hypergraphs,PERSON,1,,,"acktracking. A similar result, with extensions to acyclic hypergraphs, was developed in the database community (Beeri
e"
Beeri,PERSON,1,,,"rgraphs, was developed in the database community (Beeri
et al."
Bayardo,PERSON,1,,,", 1983). Bayardo and Miranker (1994) present an algorithm for tree"
Miranker,ORG,1,,,", 1983). Bayardo and Miranker (1994) present an algorithm for tree-structured C"
Robertson,PERSON,1,,," tree width was introduced by the graph theorists Robertson and Seymour (1986). Dechter and Pearl (1987, 1989"
Seymour,PERSON,1,,,"s introduced by the graph theorists Robertson and Seymour (1986). Dechter and Pearl (1987, 1989), building "
Bayardo,ORG,1,,,"The R
ELSAT
algorithm of Bayardo and Schrag (1997) combined constraint learning an"
Schrag,GPE,1,,,"The R
ELSAT
algorithm of Bayardo and Schrag (1997) combined constraint learning and backjumpi"
Mateescu,PERSON,1,,,"oth CSPs and probabilistic reasoning (Dechter and Mateescu, 2007). Brown
et al."
Collin,GPE,1,,," problem since 2000, and good coverage elsewhere (Collin
et al.,
1999; Pearce
et al.,
2008)."
Hooker,ORG,1,,,"rform better on typical instances of problems. As Hooker (1995) points out, we need to be careful to disti"
Lecoutre,ORG,1,,," by Apt (2003), Dechter (2003), Tsang (1993), and Lecoutre (2009), and the collection by Rossi
et al."
Rossi,GPE,1,,,"1993), and Lecoutre (2009), and the collection by Rossi
et al."
Cooper,PERSON,1,,,(2010). Carbonnel and Cooper (2016) survey tractable classes of CSPs. Kondrak 
van Run,PERSON,1,,,"f backtracking search algorithms, and Bacchus and van Run (1995) give a more empirical survey. Constraint p"
Fruhwirth,PERSON,1,,,ramming is covered in the books by Apt (2003) and Fruhwirth and Abdennadher (2003). Papers on constraint sati
Artificial Intelligence,PERSON,1,,,"rs on constraint satisfaction appear regularly in
Artificial Intelligence
and in the specialist journal
Constraints;
the la"
International SAT Competition,EVENT,1,,,he latest SAT solvers are described in the annual International SAT Competition. The primary conference venue is the Internationa
the International Conference on Principles and Practice of Constraint Programming,ORG,1,,," SAT Competition. The primary conference venue is the International Conference on Principles and Practice of Constraint Programming, often called
CP."
Sulawesi,PERSON,1,,," of the world have tree-structured maps, although Sulawesi comes close."
